ff corner
Delay	Output	Energy
-1.5e-11	0	1.26946e-11
-1.35e-11	0	1.26873e-11
-1.2e-11	0	1.26833e-11
-1.05e-11	0	1.26803e-11
-9e-12	0	1.26787e-11
-7.5e-12	0	1.26767e-11
-6e-12	0	1.26753e-11
-4.5e-12	0	1.26743e-11
-3e-12	0	1.2673e-11
-1.5e-12	0	1.26728e-11
0	0	1.27078e-11
1.5e-12	0	1.26741e-11
3e-12	0	1.26767e-11
4.5e-12	0	1.2682e-11
6e-12	1	1.27132e-11
7.5e-12	1	1.26944e-11
9e-12	1	1.26911e-11
1.05e-11	1	1.26898e-11
1.2e-11	1	1.26895e-11
1.35e-11	1	1.26895e-11
1.5e-11	1	1.26901e-11
1.65e-11	1	1.26916e-11
1.8e-11	1	1.26939e-11
1.95e-11	1	1.26969e-11
2.1e-11	1	1.27026e-11
2.25e-11	2	1.27289e-11
2.4e-11	2	1.27156e-11
2.55e-11	2	1.27142e-11
2.7e-11	2	1.27151e-11
2.85e-11	2	1.27212e-11
3e-11	3	1.27357e-11
3.15e-11	3	1.27275e-11
3.3e-11	3	1.27252e-11
3.45e-11	3	1.27241e-11
3.6e-11	3	1.27247e-11
3.75e-11	3	1.27275e-11
3.9e-11	3	1.27344e-11
4.05e-11	4	1.27462e-11
4.2e-11	4	1.27384e-11
4.35e-11	4	1.27355e-11
4.5e-11	4	1.27343e-11
4.65e-11	4	1.27342e-11
4.8e-11	4	1.2735e-11
4.95e-11	4	1.27375e-11
5.1e-11	4	1.27432e-11
5.25e-11	5	1.2758e-11
5.4e-11	5	1.27501e-11
5.55e-11	5	1.27471e-11
5.7e-11	5	1.27461e-11
5.85e-11	5	1.27456e-11
6e-11	5	1.27459e-11
6.15e-11	5	1.27482e-11
6.3e-11	5	1.27527e-11
6.45e-11	6	1.27725e-11
6.6e-11	6	1.2761e-11
6.75e-11	6	1.27578e-11
6.9e-11	6	1.27558e-11
7.05e-11	6	1.27552e-11
7.2e-11	6	1.27542e-11
7.35e-11	6	1.27544e-11
7.5e-11	6	1.27546e-11
7.65e-11	6	1.27549e-11
7.8e-11	6	1.27553e-11
7.95e-11	6	1.27564e-11
8.1e-11	6	1.27576e-11
8.25e-11	6	1.27596e-11
8.4e-11	6	1.27625e-11
8.55e-11	6	1.27705e-11
8.7e-11	7	1.2781e-11
8.85e-11	7	1.27743e-11
9e-11	7	1.27721e-11
9.15e-11	7	1.27713e-11
9.3e-11	7	1.27715e-11
9.45e-11	7	1.27727e-11
9.6e-11	7	1.27757e-11
9.75e-11	7	1.27991e-11
9.9e-11	8	1.27889e-11
1.005e-10	8	1.27847e-11
1.02e-10	8	1.27829e-11
1.035e-10	8	1.27824e-11
1.05e-10	8	1.27836e-11
1.065e-10	8	1.27879e-11
1.08e-10	9	1.28132e-11
1.095e-10	9	1.27968e-11
1.11e-10	9	1.27922e-11
1.125e-10	9	1.27902e-11
1.14e-10	9	1.27892e-11
1.155e-10	9	1.27889e-11
1.17e-10	9	1.27897e-11
1.185e-10	9	1.27927e-11
1.2e-10	9	1.28074e-11
1.215e-10	10	1.28066e-11
1.23e-10	10	1.28008e-11
1.245e-10	10	1.27982e-11
1.26e-10	10	1.27969e-11
1.275e-10	10	1.27966e-11
1.29e-10	10	1.27971e-11
1.305e-10	10	1.27995e-11
1.32e-10	10	1.28081e-11
1.335e-10	11	1.28155e-11
1.35e-10	11	1.28084e-11
1.365e-10	11	1.28058e-11
1.38e-10	11	1.28041e-11
1.395e-10	11	1.28033e-11
1.41e-10	11	1.28039e-11
1.425e-10	11	1.28055e-11
1.44e-10	11	1.28106e-11
1.455e-10	12	1.28223e-11
1.47e-10	12	1.28152e-11
1.485e-10	12	1.2811e-11
1.5e-10	12	1.2809e-11
1.515e-10	12	1.28078e-11
1.53e-10	12	1.28063e-11
1.545e-10	12	1.28055e-11
1.56e-10	12	1.28051e-11
1.575e-10	12	1.28053e-11
1.59e-10	12	1.28056e-11
1.605e-10	12	1.28063e-11
1.62e-10	12	1.28075e-11
1.635e-10	12	1.28096e-11
1.65e-10	12	1.28132e-11
1.665e-10	12	1.28266e-11
1.68e-10	13	1.2829e-11
1.695e-10	13	1.28244e-11
1.71e-10	13	1.28229e-11
1.725e-10	13	1.28231e-11
1.74e-10	13	1.28256e-11
1.755e-10	13	1.28367e-11
1.77e-10	14	1.28388e-11
1.785e-10	14	1.28337e-11
1.8e-10	14	1.28313e-11
1.815e-10	14	1.28299e-11
1.83e-10	14	1.28299e-11
1.845e-10	14	1.28302e-11
1.86e-10	14	1.28322e-11
1.875e-10	14	1.28383e-11
1.89e-10	15	1.28522e-11
1.905e-10	15	1.28436e-11
1.92e-10	15	1.28403e-11
1.935e-10	15	1.28385e-11
1.95e-10	15	1.28376e-11
1.965e-10	15	1.28383e-11
1.98e-10	15	1.28394e-11
1.995e-10	15	1.28432e-11
2.01e-10	16	1.28745e-11
2.025e-10	16	1.28534e-11
2.04e-10	16	1.28489e-11
2.055e-10	16	1.2847e-11
2.07e-10	16	1.28461e-11
2.085e-10	16	1.2846e-11
2.1e-10	16	1.28466e-11
2.115e-10	16	1.28499e-11
2.13e-10	16	1.28609e-11
2.145e-10	17	1.2863e-11
2.16e-10	17	1.28574e-11
2.175e-10	17	1.28547e-11
2.19e-10	17	1.2853e-11
2.205e-10	17	1.28524e-11
2.22e-10	17	1.28532e-11
2.235e-10	17	1.28558e-11
2.25e-10	17	1.28668e-11
2.265e-10	18	1.28688e-11
2.28e-10	18	1.28628e-11
2.295e-10	18	1.28597e-11
2.31e-10	18	1.28575e-11
2.325e-10	18	1.28561e-11
2.34e-10	18	1.28552e-11
2.355e-10	18	1.28545e-11
2.37e-10	18	1.28539e-11
2.385e-10	18	1.28542e-11
2.4e-10	18	1.28547e-11
2.415e-10	18	1.28555e-11
2.43e-10	18	1.28572e-11
2.445e-10	18	1.28598e-11
2.46e-10	18	1.28649e-11
2.475e-10	19	1.28874e-11
2.49e-10	19	1.28748e-11
2.505e-10	19	1.28724e-11
2.52e-10	19	1.28717e-11
2.535e-10	19	1.28725e-11
2.55e-10	19	1.28768e-11
2.565e-10	20	1.29013e-11
2.58e-10	20	1.28857e-11
2.595e-10	20	1.28813e-11
2.61e-10	20	1.28793e-11
2.625e-10	20	1.28786e-11
2.64e-10	20	1.28784e-11
2.655e-10	20	1.28795e-11
2.67e-10	20	1.2882e-11
2.685e-10	20	1.28914e-11
2.7e-10	21	1.28963e-11
2.715e-10	21	1.2891e-11
2.73e-10	21	1.28882e-11
2.745e-10	21	1.28872e-11
2.76e-10	21	1.28868e-11
2.775e-10	21	1.28874e-11
2.79e-10	21	1.28891e-11
2.805e-10	21	1.28955e-11
2.82e-10	22	1.29089e-11
2.835e-10	22	1.29005e-11
