ss corner
Delay	Output	Energy
-1.5e-11	0	1.06422e-11
-1.35e-11	0	1.06423e-11
-1.2e-11	0	1.06421e-11
-1.05e-11	0	1.06431e-11
-9e-12	0	1.06443e-11
-7.5e-12	0	1.065e-11
-6e-12	1	1.06562e-11
-4.5e-12	1	1.06533e-11
-3e-12	1	1.06519e-11
-1.5e-12	1	1.0651e-11
0	1	1.06496e-11
1.5e-12	1	1.06496e-11
3e-12	1	1.0649e-11
4.5e-12	1	1.06488e-11
6e-12	1	1.06486e-11
7.5e-12	1	1.06482e-11
9e-12	1	1.06482e-11
1.05e-11	1	1.06482e-11
1.2e-11	1	1.06482e-11
1.35e-11	1	1.06484e-11
1.5e-11	1	1.06487e-11
1.65e-11	1	1.0649e-11
1.8e-11	1	1.06493e-11
1.95e-11	1	1.06498e-11
2.1e-11	1	1.06505e-11
2.25e-11	1	1.06513e-11
2.4e-11	1	1.06526e-11
2.55e-11	1	1.06548e-11
2.7e-11	1	1.0661e-11
2.85e-11	2	1.06688e-11
3e-11	2	1.06669e-11
3.15e-11	2	1.06669e-11
3.3e-11	2	1.06689e-11
3.45e-11	3	1.06831e-11
3.6e-11	3	1.06774e-11
3.75e-11	3	1.06752e-11
3.9e-11	3	1.06742e-11
4.05e-11	3	1.06737e-11
4.2e-11	3	1.06738e-11
4.35e-11	3	1.06741e-11
4.5e-11	3	1.06753e-11
4.65e-11	3	1.06902e-11
4.8e-11	4	1.06856e-11
4.95e-11	4	1.06828e-11
5.1e-11	4	1.06813e-11
5.25e-11	4	1.06802e-11
5.4e-11	4	1.06795e-11
5.55e-11	4	1.06791e-11
5.7e-11	4	1.06791e-11
5.85e-11	4	1.06797e-11
6e-11	4	1.06814e-11
6.15e-11	5	1.06989e-11
6.3e-11	5	1.06904e-11
6.45e-11	5	1.0688e-11
6.6e-11	5	1.06865e-11
6.75e-11	5	1.06855e-11
6.9e-11	5	1.06848e-11
7.05e-11	5	1.06846e-11
7.2e-11	5	1.06845e-11
7.35e-11	5	1.06852e-11
7.5e-11	5	1.06878e-11
7.65e-11	6	1.07e-11
7.8e-11	6	1.06948e-11
7.95e-11	6	1.06926e-11
8.1e-11	6	1.0691e-11
8.25e-11	6	1.06899e-11
8.4e-11	6	1.06891e-11
8.55e-11	6	1.06883e-11
8.7e-11	6	1.06877e-11
8.85e-11	6	1.06874e-11
9e-11	6	1.06869e-11
9.15e-11	6	1.06867e-11
9.3e-11	6	1.06863e-11
9.45e-11	6	1.06862e-11
9.6e-11	6	1.06863e-11
9.75e-11	6	1.06863e-11
9.9e-11	6	1.06866e-11
1.005e-10	6	1.0687e-11
1.02e-10	6	1.06879e-11
1.035e-10	6	1.06895e-11
1.05e-10	6	1.0696e-11
1.065e-10	7	1.07012e-11
1.08e-10	7	1.06985e-11
1.095e-10	7	1.06971e-11
1.11e-10	7	1.06963e-11
1.125e-10	7	1.06955e-11
1.14e-10	7	1.0695e-11
1.155e-10	7	1.06947e-11
1.17e-10	7	1.06945e-11
1.185e-10	7	1.06945e-11
1.2e-10	7	1.06945e-11
1.215e-10	7	1.06946e-11
1.23e-10	7	1.06947e-11
1.245e-10	7	1.06952e-11
1.26e-10	7	1.06956e-11
1.275e-10	7	1.06963e-11
1.29e-10	7	1.06975e-11
1.305e-10	7	1.07e-11
1.32e-10	8	1.07202e-11
1.335e-10	8	1.07104e-11
1.35e-10	8	1.07086e-11
1.365e-10	8	1.07078e-11
1.38e-10	8	1.07075e-11
1.395e-10	8	1.07075e-11
1.41e-10	8	1.07081e-11
1.425e-10	8	1.07098e-11
1.44e-10	8	1.07216e-11
1.455e-10	9	1.07207e-11
1.47e-10	9	1.07183e-11
1.485e-10	9	1.0717e-11
1.5e-10	9	1.0716e-11
1.515e-10	9	1.07155e-11
1.53e-10	9	1.07154e-11
1.545e-10	9	1.07155e-11
1.56e-10	9	1.07161e-11
1.575e-10	9	1.07177e-11
1.59e-10	9	1.07266e-11
1.605e-10	10	1.07286e-11
1.62e-10	10	1.0726e-11
1.635e-10	10	1.07244e-11
1.65e-10	10	1.07236e-11
1.665e-10	10	1.0723e-11
