tt corner
Delay	Output	Energy
-1.5e-11	0	1.15375e-11
-1.35e-11	0	1.15367e-11
-1.2e-11	0	1.15363e-11
-1.05e-11	0	1.15358e-11
-9e-12	0	1.15356e-11
-7.5e-12	0	1.15356e-11
-6e-12	0	1.15362e-11
-4.5e-12	0	1.15366e-11
-3e-12	0	1.1538e-11
-1.5e-12	0	1.15434e-11
0	1	1.15555e-11
1.5e-12	1	1.15495e-11
3e-12	1	1.15468e-11
4.5e-12	1	1.15454e-11
6e-12	1	1.15445e-11
7.5e-12	1	1.15439e-11
9e-12	1	1.15435e-11
1.05e-11	1	1.15433e-11
1.2e-11	1	1.15436e-11
1.35e-11	1	1.15438e-11
1.5e-11	1	1.15443e-11
1.65e-11	1	1.15445e-11
1.8e-11	1	1.15454e-11
1.95e-11	1	1.15468e-11
2.1e-11	1	1.15486e-11
2.25e-11	1	1.15517e-11
2.4e-11	1	1.15652e-11
2.55e-11	2	1.15656e-11
2.7e-11	2	1.15634e-11
2.85e-11	2	1.15636e-11
3e-11	2	1.15673e-11
3.15e-11	3	1.15802e-11
3.3e-11	3	1.1574e-11
3.45e-11	3	1.15714e-11
3.6e-11	3	1.157e-11
3.75e-11	3	1.15699e-11
3.9e-11	3	1.15705e-11
4.05e-11	3	1.1572e-11
4.2e-11	3	1.15868e-11
4.35e-11	4	1.15836e-11
4.5e-11	4	1.15796e-11
4.65e-11	4	1.15773e-11
4.8e-11	4	1.1576e-11
4.95e-11	4	1.15753e-11
5.1e-11	4	1.15752e-11
5.25e-11	4	1.15762e-11
5.4e-11	4	1.15788e-11
5.55e-11	5	1.16077e-11
5.7e-11	5	1.15885e-11
5.85e-11	5	1.15848e-11
6e-11	5	1.15827e-11
6.15e-11	5	1.15814e-11
6.3e-11	5	1.1581e-11
6.45e-11	5	1.15812e-11
6.6e-11	5	1.15819e-11
6.75e-11	5	1.15851e-11
6.9e-11	6	1.16031e-11
7.05e-11	6	1.15926e-11
7.2e-11	6	1.15894e-11
7.35e-11	6	1.15871e-11
7.5e-11	6	1.15859e-11
7.65e-11	6	1.15848e-11
7.8e-11	6	1.15838e-11
7.95e-11	6	1.15832e-11
8.1e-11	6	1.15831e-11
8.25e-11	6	1.15826e-11
8.4e-11	6	1.15824e-11
8.55e-11	6	1.15824e-11
8.7e-11	6	1.15827e-11
8.85e-11	6	1.15833e-11
9e-11	6	1.15841e-11
9.15e-11	6	1.15859e-11
9.3e-11	6	1.15898e-11
9.45e-11	7	1.16044e-11
9.6e-11	7	1.1598e-11
9.75e-11	7	1.15955e-11
9.9e-11	7	1.1594e-11
1.005e-10	7	1.15932e-11
1.02e-10	7	1.15931e-11
1.035e-10	7	1.15929e-11
1.05e-10	7	1.15928e-11
1.065e-10	7	1.15934e-11
1.08e-10	7	1.15943e-11
1.095e-10	7	1.15957e-11
1.11e-10	7	1.1599e-11
1.125e-10	7	1.16182e-11
1.14e-10	8	1.16108e-11
1.155e-10	8	1.16077e-11
1.17e-10	8	1.16066e-11
1.185e-10	8	1.16061e-11
1.2e-10	8	1.16062e-11
1.215e-10	8	1.16077e-11
1.23e-10	8	1.16123e-11
1.245e-10	9	1.16235e-11
1.26e-10	9	1.16181e-11
1.275e-10	9	1.16158e-11
1.29e-10	9	1.16145e-11
1.305e-10	9	1.16135e-11
1.32e-10	9	1.16136e-11
1.335e-10	9	1.16142e-11
1.35e-10	9	1.16156e-11
1.365e-10	9	1.16208e-11
1.38e-10	10	1.16318e-11
1.395e-10	10	1.16258e-11
1.41e-10	10	1.16233e-11
1.425e-10	10	1.16222e-11
1.44e-10	10	1.16215e-11
1.455e-10	10	1.16212e-11
1.47e-10	10	1.16217e-11
1.485e-10	10	1.16235e-11
1.5e-10	10	1.16309e-11
1.515e-10	11	1.16368e-11
1.53e-10	11	1.16324e-11
1.545e-10	11	1.163e-11
1.56e-10	11	1.16288e-11
1.575e-10	11	1.16279e-11
1.59e-10	11	1.16277e-11
1.605e-10	11	1.16286e-11
1.62e-10	11	1.16301e-11
1.635e-10	11	1.16402e-11
1.65e-10	12	1.16421e-11
1.665e-10	12	1.16377e-11
1.68e-10	12	1.16354e-11
1.695e-10	12	1.16335e-11
1.71e-10	12	1.16323e-11
1.725e-10	12	1.16312e-11
1.74e-10	12	1.16304e-11
1.755e-10	12	1.16302e-11
1.77e-10	12	1.16297e-11
1.785e-10	12	1.16295e-11
1.8e-10	12	1.16296e-11
