ff corner
Delay	Output
6e-12	1
2.25e-11	2
3e-11	3
4.05e-11	4
5.25e-11	5
6.45e-11	6
8.7e-11	7
9.9e-11	8
1.08e-10	9
1.215e-10	10
1.335e-10	11
1.455e-10	12
1.68e-10	13
1.77e-10	14
1.89e-10	15
2.01e-10	16
2.145e-10	17
2.265e-10	18
2.475e-10	19
2.565e-10	20
2.7e-10	21
2.82e-10	22
2.94e-10	23
3.06e-10	24
3.285e-10	25
3.375e-10	26
3.495e-10	27
3.63e-10	28
3.75e-10	29
3.87e-10	30
3.99e-10	31
Simulation step_size	1.5e-12
Transient simulation time	5e-09
Resolution	1.31e-11
DNL	0.717557
INL	0.576336
TDC Offset	-7.1e-12
Average Energy	1.28401e-11
ENOB	4.57638
FoM	5.38195e-13


