fs corner
Delay	Output
0	1
2.55e-11	2
3.3e-11	3
4.35e-11	4
5.7e-11	5
7.05e-11	6
9.6e-11	7
1.155e-10	8
1.275e-10	9
1.41e-10	10
1.545e-10	11
1.68e-10	12
1.935e-10	13
2.1e-10	14
2.235e-10	15
2.37e-10	16
2.505e-10	17
2.64e-10	18
2.91e-10	19
3.075e-10	20
3.21e-10	21
3.345e-10	22
3.48e-10	23
3.615e-10	24
3.87e-10	25
4.035e-10	26
4.17e-10	27
4.305e-10	28
4.44e-10	29
4.575e-10	30
4.71e-10	31
Simulation step_size	1.5e-12
Transient simulation time	5e-09
Resolution	1.57e-11
DNL	0.719745
INL	0.605096
TDC Offset	-1.57e-11
Average Energy	1.13765e-11
ENOB	4.55553
FoM	4.83789e-13


