ss corner
Delay	Output
-6e-12	1
2.85e-11	2
3.45e-11	3
4.8e-11	4
6.15e-11	5
7.65e-11	6
1.065e-10	7
1.32e-10	8
1.455e-10	9
1.605e-10	10
1.74e-10	11
1.89e-10	12
2.19e-10	13
2.43e-10	14
2.58e-10	15
2.73e-10	16
2.88e-10	17
3.03e-10	18
3.315e-10	19
3.555e-10	20
3.705e-10	21
3.855e-10	22
4.005e-10	23
4.14e-10	24
4.44e-10	25
4.68e-10	26
4.83e-10	27
4.98e-10	28
5.13e-10	29
5.265e-10	30
5.4e-10	31
Simulation step_size	1.5e-12
Transient simulation time	5e-09
Resolution	1.82e-11
DNL	0.895604
INL	0.755495
TDC Offset	-2.42e-11
Average Energy	1.07646e-11
ENOB	4.3914
FoM	5.12924e-13


