dt_s,q_final_V,qb_final_V,tq_cross_s
-2e-11,-0.000000,1.800000,-1
-1e-11,-0.000000,1.800000,-1
-5e-12,-0.000000,1.800000,-1
-2e-12,-0.000000,1.800001,-1
-1e-12,-0.000000,1.800000,-1
-5e-13,-0.000000,1.800000,-1
-2e-13,0.000000,1.800001,-1
-1e-13,-0.000000,1.800000,-1
-5e-14,-0.000000,1.800001,-1
-2e-14,-0.000000,1.800000,-1
0,-0.000000,1.800001,-1
2e-14,-0.000000,1.800001,-1
5e-14,-0.000000,1.800000,-1
1e-13,-0.000000,1.800000,-1
2e-13,1.800000,0.000000,4.23105176852543e-10
5e-13,1.800001,-0.000000,3.74107875799488e-10
1e-12,1.800001,-0.000000,3.5322544194202e-10
2e-12,1.800000,-0.000000,3.36257088817943e-10
5e-12,1.800000,-0.000000,3.18705494739085e-10
1e-11,1.800000,-0.000000,3.0952240280839e-10
2e-11,1.800000,-0.000000,3.04888232271736e-10
