ff corner
Delay	Output	Energy
-1.5e-11	0	1.27995e-11
-1.35e-11	0	1.27977e-11
-1.2e-11	0	1.27965e-11
-1.05e-11	0	1.27951e-11
-9e-12	0	1.27944e-11
-7.5e-12	0	1.27938e-11
-6e-12	0	1.27934e-11
-4.5e-12	0	1.27937e-11
-3e-12	0	1.27942e-11
-1.5e-12	0	1.27961e-11
0	0	1.28386e-11
1.5e-12	1	1.28132e-11
3e-12	1	1.28072e-11
4.5e-12	1	1.2805e-11
6e-12	1	1.28034e-11
7.5e-12	1	1.28032e-11
9e-12	1	1.28029e-11
1.05e-11	1	1.28029e-11
1.2e-11	1	1.28032e-11
1.35e-11	1	1.2804e-11
1.5e-11	1	1.28046e-11
1.65e-11	1	1.28054e-11
1.8e-11	1	1.28068e-11
1.95e-11	1	1.28091e-11
2.1e-11	1	1.28107e-11
2.25e-11	1	1.28139e-11
2.4e-11	1	1.28196e-11
2.55e-11	1	1.28386e-11
2.7e-11	2	1.28351e-11
2.85e-11	2	1.28318e-11
3e-11	2	1.28325e-11
3.15e-11	2	1.28346e-11
3.3e-11	2	1.28416e-11
3.45e-11	3	1.28535e-11
3.6e-11	3	1.28464e-11
3.75e-11	3	1.28442e-11
3.9e-11	3	1.28433e-11
4.05e-11	3	1.28437e-11
4.2e-11	3	1.28457e-11
4.35e-11	3	1.28495e-11
4.5e-11	4	1.28808e-11
4.65e-11	4	1.28609e-11
4.8e-11	4	1.28568e-11
4.95e-11	4	1.2855e-11
5.1e-11	4	1.28546e-11
5.25e-11	4	1.28546e-11
5.4e-11	4	1.28557e-11
5.55e-11	4	1.2858e-11
5.7e-11	4	1.28633e-11
5.85e-11	5	1.28822e-11
6e-11	5	1.28713e-11
6.15e-11	5	1.2868e-11
6.3e-11	5	1.28667e-11
6.45e-11	5	1.28663e-11
6.6e-11	5	1.28664e-11
6.75e-11	5	1.28677e-11
6.9e-11	5	1.28705e-11
7.05e-11	5	1.28767e-11
7.2e-11	6	1.2889e-11
7.35e-11	6	1.28821e-11
7.5e-11	6	1.28793e-11
7.65e-11	6	1.28775e-11
7.8e-11	6	1.28765e-11
7.95e-11	6	1.28757e-11
8.1e-11	6	1.28753e-11
8.25e-11	6	1.28746e-11
8.4e-11	6	1.28743e-11
8.55e-11	6	1.28739e-11
8.7e-11	6	1.28739e-11
8.85e-11	6	1.28745e-11
9e-11	6	1.28754e-11
9.15e-11	6	1.28774e-11
9.3e-11	6	1.2881e-11
9.45e-11	6	1.28969e-11
9.6e-11	7	1.28951e-11
9.75e-11	7	1.28892e-11
9.9e-11	7	1.28867e-11
1.005e-10	7	1.28852e-11
