fs corner
Delay	Output	Energy
-1.5e-11	0	1.12483e-11
-1.35e-11	0	1.12474e-11
-1.2e-11	0	1.12468e-11
-1.05e-11	0	1.12472e-11
-9e-12	0	1.12467e-11
-7.5e-12	0	1.1246e-11
-6e-12	0	1.1247e-11
-4.5e-12	0	1.12476e-11
-3e-12	0	1.12492e-11
-1.5e-12	0	1.12525e-11
0	1	1.12694e-11
1.5e-12	1	1.12615e-11
3e-12	1	1.1259e-11
4.5e-12	1	1.12575e-11
6e-12	1	1.12559e-11
7.5e-12	1	1.12554e-11
9e-12	1	1.12552e-11
1.05e-11	1	1.12546e-11
1.2e-11	1	1.12546e-11
1.35e-11	1	1.12548e-11
1.5e-11	1	1.1255e-11
1.65e-11	1	1.12552e-11
1.8e-11	1	1.12557e-11
1.95e-11	1	1.12565e-11
2.1e-11	1	1.12578e-11
2.25e-11	1	1.12608e-11
2.4e-11	1	1.12666e-11
2.55e-11	2	1.12788e-11
2.7e-11	2	1.12741e-11
2.85e-11	2	1.12733e-11
3e-11	2	1.12742e-11
3.15e-11	2	1.12798e-11
3.3e-11	3	1.1288e-11
3.45e-11	3	1.12833e-11
3.6e-11	3	1.12813e-11
3.75e-11	3	1.12803e-11
3.9e-11	3	1.12804e-11
4.05e-11	3	1.12809e-11
4.2e-11	3	1.12845e-11
4.35e-11	4	1.12993e-11
4.5e-11	4	1.12919e-11
4.65e-11	4	1.12888e-11
4.8e-11	4	1.12876e-11
4.95e-11	4	1.12865e-11
5.1e-11	4	1.12859e-11
5.25e-11	4	1.1286e-11
5.4e-11	4	1.12868e-11
5.55e-11	4	1.12903e-11
5.7e-11	5	1.1307e-11
5.85e-11	5	1.12977e-11
6e-11	5	1.12945e-11
6.15e-11	5	1.12932e-11
6.3e-11	5	1.12919e-11
6.45e-11	5	1.12913e-11
6.6e-11	5	1.12914e-11
6.75e-11	5	1.12924e-11
6.9e-11	5	1.12955e-11
7.05e-11	6	1.13104e-11
7.2e-11	6	1.13028e-11
7.35e-11	6	1.12997e-11
7.5e-11	6	1.12978e-11
7.65e-11	6	1.12962e-11
7.8e-11	6	1.12953e-11
7.95e-11	6	1.12942e-11
8.1e-11	6	1.12936e-11
8.25e-11	6	1.12934e-11
8.4e-11	6	1.1293e-11
8.55e-11	6	1.12929e-11
8.7e-11	6	1.12928e-11
8.85e-11	6	1.1293e-11
9e-11	6	1.12934e-11
9.15e-11	6	1.1294e-11
9.3e-11	6	1.12953e-11
9.45e-11	6	1.1298e-11
9.6e-11	7	1.13216e-11
9.75e-11	7	1.13096e-11
9.9e-11	7	1.13064e-11
1.005e-10	7	1.1305e-11
1.02e-10	7	1.1304e-11
1.035e-10	7	1.13036e-11
1.05e-10	7	1.13032e-11
1.065e-10	7	1.13034e-11
1.08e-10	7	1.13035e-11
1.095e-10	7	1.13041e-11
1.11e-10	7	1.13052e-11
1.125e-10	7	1.13071e-11
1.14e-10	7	1.13108e-11
1.155e-10	8	1.13282e-11
1.17e-10	8	1.13198e-11
1.185e-10	8	1.13173e-11
1.2e-10	8	1.13168e-11
1.215e-10	8	1.13162e-11
1.23e-10	8	1.13171e-11
1.245e-10	8	1.13191e-11
1.26e-10	8	1.13295e-11
1.275e-10	9	1.13312e-11
1.29e-10	9	1.13276e-11
1.305e-10	9	1.13255e-11
1.32e-10	9	1.13246e-11
1.335e-10	9	1.13242e-11
1.35e-10	9	1.1324e-11
1.365e-10	9	1.13248e-11
1.38e-10	9	1.13265e-11
1.395e-10	9	1.1333e-11
1.41e-10	10	1.13406e-11
1.425e-10	10	1.1336e-11
1.44e-10	10	1.1334e-11
1.455e-10	10	1.13323e-11
1.47e-10	10	1.13316e-11
1.485e-10	10	1.13315e-11
1.5e-10	10	1.13323e-11
1.515e-10	10	1.13341e-11
1.53e-10	10	1.134e-11
1.545e-10	11	1.13474e-11
1.56e-10	11	1.13432e-11
1.575e-10	11	1.13406e-11
1.59e-10	11	1.13393e-11
1.605e-10	11	1.13387e-11
1.62e-10	11	1.13385e-11
1.635e-10	11	1.13389e-11
1.65e-10	11	1.13406e-11
1.665e-10	11	1.13454e-11
1.68e-10	12	1.13533e-11
1.695e-10	12	1.13488e-11
1.71e-10	12	1.1346e-11
1.725e-10	12	1.13444e-11
1.74e-10	12	1.13429e-11
1.755e-10	12	1.13421e-11
1.77e-10	12	1.13412e-11
1.785e-10	12	1.13404e-11
1.8e-10	12	1.13405e-11
1.815e-10	12	1.13403e-11
1.83e-10	12	1.13402e-11
1.845e-10	12	1.13402e-11
1.86e-10	12	1.13404e-11
1.875e-10	12	1.13408e-11
1.89e-10	12	1.13418e-11
1.905e-10	12	1.13435e-11
1.92e-10	12	1.13482e-11
1.935e-10	13	1.13616e-11
1.95e-10	13	1.13557e-11
1.965e-10	13	1.13532e-11
1.98e-10	13	1.13522e-11
1.995e-10	13	1.13516e-11
2.01e-10	13	1.13514e-11
2.025e-10	13	1.13514e-11
2.04e-10	13	1.13518e-11
2.055e-10	13	1.13529e-11
2.07e-10	13	1.13547e-11
2.085e-10	13	1.13607e-11
2.1e-10	14	1.13707e-11
2.115e-10	14	1.13657e-11
2.13e-10	14	1.13636e-11
2.145e-10	14	1.13628e-11
2.16e-10	14	1.13621e-11
2.175e-10	14	1.13619e-11
2.19e-10	14	1.13624e-11
2.205e-10	14	1.13639e-11
2.22e-10	14	1.13675e-11
2.235e-10	15	1.13839e-11
2.25e-10	15	1.13757e-11
2.265e-10	15	1.13735e-11
2.28e-10	15	1.13721e-11
2.295e-10	15	1.13716e-11
2.31e-10	15	1.13706e-11
2.325e-10	15	1.13713e-11
2.34e-10	15	1.13723e-11
2.355e-10	15	1.13754e-11
2.37e-10	16	1.13995e-11
2.385e-10	16	1.13851e-11
2.4e-10	16	1.13821e-11
2.415e-10	16	1.13804e-11
2.43e-10	16	1.13796e-11
2.445e-10	16	1.1379e-11
2.46e-10	16	1.1379e-11
2.475e-10	16	1.138e-11
2.49e-10	16	1.13826e-11
2.505e-10	17	1.14055e-11
2.52e-10	17	1.13927e-11
2.535e-10	17	1.13891e-11
2.55e-10	17	1.13874e-11
2.565e-10	17	1.13862e-11
2.58e-10	17	1.13857e-11
2.595e-10	17	1.13856e-11
2.61e-10	17	1.13863e-11
2.625e-10	17	1.13887e-11
2.64e-10	18	1.14091e-11
2.655e-10	18	1.13981e-11
2.67e-10	18	1.13944e-11
2.685e-10	18	1.13923e-11
2.7e-10	18	1.13909e-11
2.715e-10	18	1.13896e-11
2.73e-10	18	1.13882e-11
2.745e-10	18	1.13878e-11
2.76e-10	18	1.13876e-11
2.775e-10	18	1.13872e-11
2.79e-10	18	1.13873e-11
2.805e-10	18	1.13871e-11
2.82e-10	18	1.13873e-11
2.835e-10	18	1.13878e-11
2.85e-10	18	1.13887e-11
2.865e-10	18	1.13898e-11
2.88e-10	18	1.13923e-11
2.895e-10	18	1.14049e-11
2.91e-10	19	1.14052e-11
2.925e-10	19	1.14018e-11
2.94e-10	19	1.14003e-11
2.955e-10	19	1.13995e-11
2.97e-10	19	1.13991e-11
2.985e-10	19	1.13988e-11
3e-10	19	1.1399e-11
3.015e-10	19	1.13996e-11
3.03e-10	19	1.14007e-11
3.045e-10	19	1.14036e-11
3.06e-10	19	1.14204e-11
3.075e-10	20	1.1415e-11
3.09e-10	20	1.14121e-11
3.105e-10	20	1.14109e-11
3.12e-10	20	1.14103e-11
3.135e-10	20	1.14101e-11
3.15e-10	20	1.14103e-11
3.165e-10	20	1.14102e-11
3.18e-10	20	1.14122e-11
3.195e-10	20	1.14194e-11
3.21e-10	21	1.14262e-11
3.225e-10	21	1.14219e-11
3.24e-10	21	1.14201e-11
3.255e-10	21	1.14194e-11
3.27e-10	21	1.14188e-11
3.285e-10	21	1.14185e-11
3.3e-10	21	1.14194e-11
3.315e-10	21	1.14207e-11
3.33e-10	21	1.14266e-11
3.345e-10	22	1.14348e-11
3.36e-10	22	1.14303e-11
3.375e-10	22	1.14281e-11
3.39e-10	22	1.14268e-11
3.405e-10	22	1.14263e-11
3.42e-10	22	1.14262e-11
3.435e-10	22	1.14269e-11
3.45e-10	22	1.14286e-11
3.465e-10	22	1.14349e-11
3.48e-10	23	1.14426e-11
3.495e-10	23	1.14376e-11
3.51e-10	23	1.14351e-11
3.525e-10	23	1.14338e-11
3.54e-10	23	1.14331e-11
3.555e-10	23	1.14329e-11
3.57e-10	23	1.14331e-11
3.585e-10	23	1.14349e-11
3.6e-10	23	1.14405e-11
3.615e-10	24	1.14479e-11
3.63e-10	24	1.14431e-11
3.645e-10	24	1.14406e-11
3.66e-10	24	1.1439e-11
3.675e-10	24	1.14377e-11
3.69e-10	24	1.14368e-11
3.705e-10	24	1.1436e-11
3.72e-10	24	1.14352e-11
3.735e-10	24	1.14348e-11
3.75e-10	24	1.14346e-11
3.765e-10	24	1.14348e-11
3.78e-10	24	1.14349e-11
3.795e-10	24	1.14352e-11
3.81e-10	24	1.14356e-11
3.825e-10	24	1.14363e-11
3.84e-10	24	1.14381e-11
3.855e-10	24	1.14425e-11
3.87e-10	25	1.14572e-11
3.885e-10	25	1.14506e-11
3.9e-10	25	1.14483e-11
3.915e-10	25	1.14467e-11
3.93e-10	25	1.1446e-11
3.945e-10	25	1.14457e-11
3.96e-10	25	1.14457e-11
3.975e-10	25	1.14463e-11
3.99e-10	25	1.14473e-11
4.005e-10	25	1.14489e-11
4.02e-10	25	1.14536e-11
4.035e-10	26	1.14666e-11
4.05e-10	26	1.14607e-11
4.065e-10	26	1.14585e-11
4.08e-10	26	1.14572e-11
4.095e-10	26	1.14566e-11
4.11e-10	26	1.14569e-11
4.125e-10	26	1.14572e-11
4.14e-10	26	1.14585e-11
4.155e-10	26	1.14618e-11
4.17e-10	27	1.14783e-11
4.185e-10	27	1.14704e-11
4.2e-10	27	1.14677e-11
4.215e-10	27	1.14662e-11
4.23e-10	27	1.14657e-11
4.245e-10	27	1.14654e-11
4.26e-10	27	1.14656e-11
4.275e-10	27	1.14667e-11
4.29e-10	27	1.14699e-11
4.305e-10	28	1.149e-11
4.32e-10	28	1.14794e-11
4.335e-10	28	1.14764e-11
4.35e-10	28	1.14749e-11
4.365e-10	28	1.14738e-11
4.38e-10	28	1.14734e-11
4.395e-10	28	1.14738e-11
4.41e-10	28	1.14749e-11
4.425e-10	28	1.14785e-11
4.44e-10	29	1.14965e-11
4.455e-10	29	1.14869e-11
4.47e-10	29	1.1484e-11
4.485e-10	29	1.14824e-11
4.5e-10	29	1.14816e-11
4.515e-10	29	1.14814e-11
4.53e-10	29	1.14816e-11
4.545e-10	29	1.14824e-11
4.56e-10	29	1.14855e-11
4.575e-10	30	1.1505e-11
4.59e-10	30	1.14946e-11
4.605e-10	30	1.14914e-11
4.62e-10	30	1.14898e-11
4.635e-10	30	1.14888e-11
4.65e-10	30	1.14882e-11
4.665e-10	30	1.14885e-11
4.68e-10	30	1.14903e-11
4.695e-10	30	1.14985e-11
4.71e-10	31	1.15021e-11
4.725e-10	31	1.14976e-11
4.74e-10	31	1.14951e-11
4.755e-10	31	1.14934e-11
4.77e-10	31	1.14923e-11
4.785e-10	31	1.14912e-11
4.8e-10	31	1.14905e-11
4.815e-10	31	1.14896e-11
4.83e-10	31	1.14891e-11
4.845e-10	31	1.14888e-11
4.86e-10	31	1.14885e-11
4.875e-10	31	1.14885e-11
4.89e-10	31	1.14885e-11
4.905e-10	31	1.14886e-11
4.92e-10	31	1.14887e-11
4.935e-10	31	1.14892e-11
4.95e-10	31	1.14904e-11


