sf corner
Delay	Output	Energy
-1.5e-11	0	1.18215e-11
-1.35e-11	0	1.18211e-11
-1.2e-11	0	1.18208e-11
-1.05e-11	0	1.18204e-11
-9e-12	0	1.18207e-11
-7.5e-12	0	1.18215e-11
-6e-12	0	1.18228e-11
-4.5e-12	0	1.18255e-11
-3e-12	0	1.1844e-11
-1.5e-12	1	1.18372e-11
0	1	1.1833e-11
1.5e-12	1	1.18316e-11
3e-12	1	1.18303e-11
4.5e-12	1	1.18293e-11
6e-12	1	1.18287e-11
7.5e-12	1	1.18281e-11
9e-12	1	1.18279e-11
1.05e-11	1	1.1828e-11
1.2e-11	1	1.18283e-11
1.35e-11	1	1.18286e-11
1.5e-11	1	1.18289e-11
1.65e-11	1	1.18294e-11
1.8e-11	1	1.18304e-11
1.95e-11	1	1.1832e-11
2.1e-11	1	1.18343e-11
2.25e-11	1	1.18395e-11
2.4e-11	2	1.18556e-11
2.55e-11	2	1.18493e-11
2.7e-11	2	1.18482e-11
2.85e-11	2	1.18497e-11
3e-11	2	1.18688e-11
3.15e-11	3	1.18601e-11
3.3e-11	3	1.18566e-11
3.45e-11	3	1.18551e-11
3.6e-11	3	1.18546e-11
3.75e-11	3	1.18548e-11
3.9e-11	3	1.18566e-11
4.05e-11	3	1.18632e-11
4.2e-11	4	1.18702e-11
4.35e-11	4	1.18649e-11
4.5e-11	4	1.18626e-11
4.65e-11	4	1.1861e-11
4.8e-11	4	1.18602e-11
4.95e-11	4	1.18602e-11
5.1e-11	4	1.1861e-11
5.25e-11	4	1.18632e-11
5.4e-11	5	1.18869e-11
5.55e-11	5	1.18733e-11
5.7e-11	5	1.18694e-11
5.85e-11	5	1.18673e-11
6e-11	5	1.18662e-11
6.15e-11	5	1.18656e-11
6.3e-11	5	1.18658e-11
6.45e-11	5	1.18673e-11
6.6e-11	5	1.18713e-11
6.75e-11	6	1.18826e-11
6.9e-11	6	1.18764e-11
7.05e-11	6	1.18735e-11
7.2e-11	6	1.18715e-11
7.35e-11	6	1.187e-11
7.5e-11	6	1.18692e-11
7.65e-11	6	1.18682e-11
7.8e-11	6	1.18676e-11
7.95e-11	6	1.18673e-11
8.1e-11	6	1.1867e-11
8.25e-11	6	1.1867e-11
8.4e-11	6	1.18671e-11
8.55e-11	6	1.18676e-11
8.7e-11	6	1.18682e-11
8.85e-11	6	1.18697e-11
9e-11	6	1.18734e-11
9.15e-11	7	1.18956e-11
9.3e-11	7	1.18833e-11
9.45e-11	7	1.18802e-11
9.6e-11	7	1.18786e-11
9.75e-11	7	1.18775e-11
9.9e-11	7	1.18768e-11
1.005e-10	7	1.18766e-11
1.02e-10	7	1.18766e-11
1.035e-10	7	1.18768e-11
1.05e-10	7	1.18772e-11
1.065e-10	7	1.18781e-11
1.08e-10	7	1.18795e-11
1.095e-10	7	1.18823e-11
1.11e-10	7	1.18909e-11
1.125e-10	8	1.18963e-11
1.14e-10	8	1.18925e-11
1.155e-10	8	1.18911e-11
1.17e-10	8	1.18907e-11
1.185e-10	8	1.18908e-11
1.2e-10	8	1.18921e-11
1.215e-10	8	1.18966e-11
1.23e-10	9	1.19097e-11
1.245e-10	9	1.19028e-11
1.26e-10	9	1.19004e-11
1.275e-10	9	1.18991e-11
1.29e-10	9	1.18987e-11
1.305e-10	9	1.18985e-11
1.32e-10	9	1.18991e-11
1.335e-10	9	1.19009e-11
1.35e-10	9	1.19085e-11
1.365e-10	10	1.19138e-11
1.38e-10	10	1.19099e-11
1.395e-10	10	1.19077e-11
1.41e-10	10	1.19066e-11
1.425e-10	10	1.1906e-11
1.44e-10	10	1.19061e-11
1.455e-10	10	1.1907e-11
1.47e-10	10	1.19101e-11
1.485e-10	11	1.19303e-11
1.5e-10	11	1.19191e-11
1.515e-10	11	1.19157e-11
1.53e-10	11	1.19141e-11
1.545e-10	11	1.1913e-11
1.56e-10	11	1.19125e-11
1.575e-10	11	1.1913e-11
1.59e-10	11	1.19142e-11
1.605e-10	11	1.19187e-11
1.62e-10	12	1.19285e-11
1.635e-10	12	1.19234e-11
1.65e-10	12	1.19206e-11
1.665e-10	12	1.19188e-11
1.68e-10	12	1.19174e-11
1.695e-10	12	1.19163e-11
1.71e-10	12	1.19155e-11
1.725e-10	12	1.19149e-11
1.74e-10	12	1.19144e-11
1.755e-10	12	1.19142e-11
1.77e-10	12	1.19142e-11
1.785e-10	12	1.19143e-11
1.8e-10	12	1.19148e-11
1.815e-10	12	1.19157e-11
1.83e-10	12	1.19172e-11
1.845e-10	12	1.19211e-11
1.86e-10	13	1.19402e-11
1.875e-10	13	1.19303e-11
1.89e-10	13	1.19273e-11
1.905e-10	13	1.19259e-11
1.92e-10	13	1.19252e-11
1.935e-10	13	1.19246e-11
1.95e-10	13	1.19248e-11
1.965e-10	13	1.19247e-11
1.98e-10	13	1.19253e-11
1.995e-10	13	1.19261e-11
2.01e-10	13	1.19281e-11
2.025e-10	13	1.19331e-11
2.04e-10	14	1.19481e-11
2.055e-10	14	1.19406e-11
2.07e-10	14	1.19383e-11
2.085e-10	14	1.19367e-11
2.1e-10	14	1.19364e-11
2.115e-10	14	1.19361e-11
2.13e-10	14	1.19368e-11
2.145e-10	14	1.19389e-11
2.16e-10	14	1.1944e-11
2.175e-10	15	1.19554e-11
2.19e-10	15	1.1949e-11
2.205e-10	15	1.19471e-11
2.22e-10	15	1.19457e-11
2.235e-10	15	1.1945e-11
2.25e-10	15	1.19449e-11
2.265e-10	15	1.19462e-11
2.28e-10	15	1.19483e-11
2.295e-10	15	1.19563e-11
2.31e-10	16	1.19612e-11
2.325e-10	16	1.19571e-11
2.34e-10	16	1.19549e-11
2.355e-10	16	1.19538e-11
2.37e-10	16	1.1953e-11
2.385e-10	16	1.19531e-11
2.4e-10	16	1.19545e-11
2.415e-10	16	1.19569e-11
2.43e-10	17	1.19929e-11
2.445e-10	17	1.19671e-11
2.46e-10	17	1.19636e-11
2.475e-10	17	1.19616e-11
2.49e-10	17	1.19607e-11
2.505e-10	17	1.196e-11
2.52e-10	17	1.19601e-11
2.535e-10	17	1.19614e-11
2.55e-10	17	1.19677e-11
2.565e-10	18	1.19751e-11
2.58e-10	18	1.197e-11
2.595e-10	18	1.1967e-11
2.61e-10	18	1.19653e-11
2.625e-10	18	1.19641e-11
2.64e-10	18	1.19631e-11
2.655e-10	18	1.19623e-11
2.67e-10	18	1.19617e-11
2.685e-10	18	1.19613e-11
2.7e-10	18	1.19612e-11
2.715e-10	18	1.19612e-11
2.73e-10	18	1.19613e-11
2.745e-10	18	1.19618e-11
2.76e-10	18	1.1963e-11
2.775e-10	18	1.19649e-11
2.79e-10	18	1.1969e-11
2.805e-10	19	1.19855e-11
2.82e-10	19	1.1977e-11
2.835e-10	19	1.19745e-11
2.85e-10	19	1.19732e-11
2.865e-10	19	1.19723e-11
2.88e-10	19	1.19718e-11
2.895e-10	19	1.19715e-11
2.91e-10	19	1.19718e-11
2.925e-10	19	1.19722e-11
2.94e-10	19	1.19733e-11
2.955e-10	19	1.19751e-11
2.97e-10	19	1.19797e-11
2.985e-10	20	1.19939e-11
3e-10	20	1.19874e-11
3.015e-10	20	1.1985e-11
3.03e-10	20	1.19835e-11
3.045e-10	20	1.19831e-11
3.06e-10	20	1.1983e-11
3.075e-10	20	1.19838e-11
3.09e-10	20	1.1986e-11
3.105e-10	20	1.19913e-11
3.12e-10	21	1.20018e-11
3.135e-10	21	1.19968e-11
3.15e-10	21	1.19943e-11
3.165e-10	21	1.19926e-11
3.18e-10	21	1.19923e-11
3.195e-10	21	1.19924e-11
3.21e-10	21	1.19932e-11
3.225e-10	21	1.19955e-11
3.24e-10	21	1.20049e-11
3.255e-10	22	1.20078e-11
3.27e-10	22	1.20039e-11
3.285e-10	22	1.20019e-11
3.3e-10	22	1.20008e-11
3.315e-10	22	1.20004e-11
3.33e-10	22	1.20005e-11
3.345e-10	22	1.20016e-11
3.36e-10	22	1.20055e-11
3.375e-10	23	1.20204e-11
3.39e-10	23	1.20124e-11
3.405e-10	23	1.20095e-11
3.42e-10	23	1.20079e-11
3.435e-10	23	1.20072e-11
3.45e-10	23	1.2007e-11
3.465e-10	23	1.20074e-11
3.48e-10	23	1.20092e-11
3.495e-10	23	1.20156e-11
3.51e-10	24	1.20223e-11
3.525e-10	24	1.20171e-11
3.54e-10	24	1.20143e-11
3.555e-10	24	1.20125e-11
3.57e-10	24	1.20113e-11
3.585e-10	24	1.20104e-11
3.6e-10	24	1.20097e-11
3.615e-10	24	1.2009e-11
3.63e-10	24	1.20087e-11
3.645e-10	24	1.20085e-11
3.66e-10	24	1.20084e-11
3.675e-10	24	1.20087e-11
3.69e-10	24	1.20091e-11
3.705e-10	24	1.20101e-11
3.72e-10	24	1.2012e-11
3.735e-10	24	1.20159e-11
3.75e-10	25	1.20316e-11
3.765e-10	25	1.20241e-11
3.78e-10	25	1.20215e-11
3.795e-10	25	1.20203e-11
3.81e-10	25	1.20192e-11
3.825e-10	25	1.20187e-11
3.84e-10	25	1.20187e-11
3.855e-10	25	1.20188e-11
3.87e-10	25	1.20194e-11
3.885e-10	25	1.20204e-11
3.9e-10	25	1.20223e-11
3.915e-10	25	1.20274e-11
3.93e-10	26	1.20396e-11
3.945e-10	26	1.20339e-11
3.96e-10	26	1.20316e-11
3.975e-10	26	1.20305e-11
3.99e-10	26	1.20302e-11
4.005e-10	26	1.20303e-11
4.02e-10	26	1.20308e-11
4.035e-10	26	1.20332e-11
4.05e-10	26	1.20404e-11
4.065e-10	27	1.2047e-11
4.08e-10	27	1.20427e-11
4.095e-10	27	1.20406e-11
4.11e-10	27	1.20395e-11
4.125e-10	27	1.20391e-11
4.14e-10	27	1.20392e-11
4.155e-10	27	1.20403e-11
4.17e-10	27	1.20431e-11
4.185e-10	28	1.20734e-11
4.2e-10	28	1.20535e-11
4.215e-10	28	1.20502e-11
4.23e-10	28	1.20485e-11
4.245e-10	28	1.20477e-11
4.26e-10	28	1.20473e-11
4.275e-10	28	1.20478e-11
4.29e-10	28	1.20494e-11
4.305e-10	28	1.20544e-11
4.32e-10	29	1.20656e-11
4.335e-10	29	1.20598e-11
4.35e-10	29	1.20573e-11
4.365e-10	29	1.20559e-11
4.38e-10	29	1.20552e-11
4.395e-10	29	1.20551e-11
4.41e-10	29	1.20558e-11
