ff corner
Delay	Output
1.5e-12	1
2.7e-11	2
3.45e-11	3
4.5e-11	4
5.85e-11	5
7.2e-11	6
9.6e-11	7
1.155e-10	8
1.26e-10	9
1.395e-10	10
1.53e-10	11
1.665e-10	12
1.89e-10	13
2.07e-10	14
2.205e-10	15
2.34e-10	16
2.475e-10	17
2.595e-10	18
2.835e-10	19
3.015e-10	20
3.15e-10	21
3.285e-10	22
3.42e-10	23
3.54e-10	24
3.78e-10	25
3.945e-10	26
4.08e-10	27
4.215e-10	28
4.35e-10	29
4.485e-10	30
4.605e-10	31
Simulation step_size	1.5e-12
Transient simulation time	5e-09
Resolution	1.53e-11
DNL	0.666667
INL	0.539216
TDC Offset	-1.38e-11
Average Energy	1.29575e-11
ENOB	4.61905
FoM	5.27288e-13


