sf corner
Delay	Output
-1.5e-12	1
2.4e-11	2
3.15e-11	3
4.2e-11	4
5.4e-11	5
6.75e-11	6
9.15e-11	7
1.125e-10	8
1.23e-10	9
1.365e-10	10
1.485e-10	11
1.62e-10	12
1.86e-10	13
2.04e-10	14
2.175e-10	15
2.31e-10	16
2.43e-10	17
2.565e-10	18
2.805e-10	19
2.985e-10	20
3.12e-10	21
3.255e-10	22
3.375e-10	23
3.51e-10	24
3.75e-10	25
3.93e-10	26
4.065e-10	27
4.185e-10	28
4.32e-10	29
4.455e-10	30
4.56e-10	31
Simulation step_size	1.5e-12
Transient simulation time	5e-09
Resolution	1.525e-11
DNL	0.672131
INL	0.672131
TDC Offset	-1.675e-11
Average Energy	1.19504e-11
ENOB	4.52148
FoM	5.20335e-13


