ss corner
Delay	Output
-6e-12	1
2.4e-11	2
2.85e-11	3
3.9e-11	4
5.25e-11	5
6.6e-11	6
9.3e-11	7
1.14e-10	8
1.245e-10	9
1.38e-10	10
1.5e-10	11
1.635e-10	12
1.905e-10	13
2.1e-10	14
2.235e-10	15
2.355e-10	16
2.49e-10	17
2.625e-10	18
2.88e-10	19
3.075e-10	20
3.21e-10	21
3.345e-10	22
3.465e-10	23
3.6e-10	24
3.87e-10	25
4.065e-10	26
4.185e-10	27
4.32e-10	28
4.455e-10	29
4.575e-10	30
4.695e-10	31
Simulation step_size	1.5e-12
Transient simulation time	5e-09
Resolution	1.585e-11
DNL	0.892744
INL	0.741325
TDC Offset	-2.185e-11
Average Energy	1.06775e-11
ENOB	4.40227
FoM	5.04954e-13


