tt corner
Delay	Output
1.5e-12	1
2.4e-11	2
3.15e-11	3
4.2e-11	4
5.55e-11	5
6.9e-11	6
9.45e-11	7
1.11e-10	8
1.215e-10	9
1.35e-10	10
1.485e-10	11
1.62e-10	12
1.875e-10	13
2.01e-10	14
2.145e-10	15
2.28e-10	16
2.415e-10	17
2.55e-10	18
2.805e-10	19
2.94e-10	20
3.075e-10	21
3.21e-10	22
3.345e-10	23
3.48e-10	24
3.72e-10	25
3.87e-10	26
4.005e-10	27
4.14e-10	28
4.26e-10	29
4.395e-10	30
4.515e-10	31
Simulation step_size	1.5e-12
Transient simulation time	5e-09
Resolution	1.5e-11
DNL	0.7
INL	0.6
TDC Offset	-1.35e-11
Average Energy	1.16402e-11
ENOB	4.56558
FoM	4.91567e-13


