v0t1,v1t1,v2t1,v0t2,v1t2,v2t2,tau1_s,tau2_s,t0_s
0,0,0,0,0,0,6.38507e-11,5.3088e-11,1.07627e-11
0,0,0,0,0,1.8,6.38507e-11,6.38085e-11,4.22439e-14
0,0,0,0,1.8,0,6.38507e-11,6.17128e-11,2.138e-12
0,0,0,0,1.8,1.8,6.38507e-11,7.36641e-11,-9.8134e-12
0,0,0,1.8,0,0,6.38507e-11,5.46874e-11,9.1633e-12
0,0,0,1.8,0,1.8,6.38507e-11,6.56673e-11,-1.8166e-12
0,0,0,1.8,1.8,0,6.38507e-11,6.35237e-11,3.27083e-13
0,0,0,1.8,1.8,1.8,6.38507e-11,7.56011e-11,-1.17504e-11
0,0,1.8,0,0,0,7.65583e-11,5.30609e-11,2.34974e-11
0,0,1.8,0,0,1.8,7.65586e-11,6.38323e-11,1.27262e-11
0,0,1.8,0,1.8,0,7.65585e-11,6.17544e-11,1.48041e-11
0,0,1.8,0,1.8,1.8,7.65588e-11,7.35961e-11,2.96264e-12
0,0,1.8,1.8,0,0,7.65583e-11,5.46478e-11,2.19105e-11
0,0,1.8,1.8,0,1.8,7.65586e-11,6.56912e-11,1.08674e-11
0,0,1.8,1.8,1.8,0,7.65586e-11,6.35685e-11,1.29901e-11
0,0,1.8,1.8,1.8,1.8,7.65588e-11,7.55355e-11,1.02329e-12
0,1.8,0,0,0,0,7.50882e-11,5.30229e-11,2.20653e-11
0,1.8,0,0,0,1.8,7.50883e-11,6.38257e-11,1.12626e-11
0,1.8,0,0,1.8,0,7.50883e-11,6.17709e-11,1.33174e-11
0,1.8,0,0,1.8,1.8,7.50884e-11,7.35908e-11,1.49762e-12
0,1.8,0,1.8,0,0,7.50882e-11,5.46225e-11,2.04658e-11
0,1.8,0,1.8,0,1.8,7.50883e-11,6.56845e-11,9.4038e-12
0,1.8,0,1.8,1.8,0,7.50883e-11,6.35272e-11,1.15611e-11
0,1.8,0,1.8,1.8,1.8,7.50884e-11,7.55259e-11,-4.3753e-13
0,1.8,1.8,0,0,0,8.85369e-11,5.3041e-11,3.54958e-11
0,1.8,1.8,0,0,1.8,8.85403e-11,6.37598e-11,2.47805e-11
0,1.8,1.8,0,1.8,0,8.85399e-11,6.16761e-11,2.68638e-11
0,1.8,1.8,0,1.8,1.8,8.8544e-11,7.36015e-11,1.49425e-11
0,1.8,1.8,1.8,0,0,8.85373e-11,5.45898e-11,3.39475e-11
0,1.8,1.8,1.8,0,1.8,8.85411e-11,6.56412e-11,2.28998e-11
0,1.8,1.8,1.8,1.8,0,8.85406e-11,6.34604e-11,2.50802e-11
0,1.8,1.8,1.8,1.8,1.8,8.85448e-11,7.55232e-11,1.30216e-11
1.8,0,0,0,0,0,6.56469e-11,5.30687e-11,1.25782e-11
1.8,0,0,0,0,1.8,6.56469e-11,6.38031e-11,1.84381e-12
1.8,0,0,0,1.8,0,6.56469e-11,6.17031e-11,3.94382e-12
1.8,0,0,0,1.8,1.8,6.56469e-11,7.36623e-11,-8.01532e-12
1.8,0,0,1.8,0,0,6.56469e-11,5.46631e-11,1.09838e-11
1.8,0,0,1.8,0,1.8,6.56469e-11,6.56544e-11,-7.50672e-15
1.8,0,0,1.8,1.8,0,6.56469e-11,6.35158e-11,2.13111e-12
1.8,0,0,1.8,1.8,1.8,6.56469e-11,7.56115e-11,-9.96461e-12
1.8,0,1.8,0,0,0,7.84704e-11,5.29952e-11,2.54751e-11
1.8,0,1.8,0,0,1.8,7.84714e-11,6.38226e-11,1.46488e-11
1.8,0,1.8,0,1.8,0,7.84712e-11,6.17379e-11,1.67334e-11
1.8,0,1.8,0,1.8,1.8,7.84723e-11,7.36131e-11,4.85914e-12
1.8,0,1.8,1.8,0,0,7.84705e-11,5.45926e-11,2.3878e-11
1.8,0,1.8,1.8,0,1.8,7.84716e-11,6.57047e-11,1.27668e-11
1.8,0,1.8,1.8,1.8,0,7.84714e-11,6.3534e-11,1.49374e-11
1.8,0,1.8,1.8,1.8,1.8,7.84694e-11,7.55378e-11,2.93157e-12
1.8,1.8,0,0,0,0,7.70283e-11,5.30515e-11,2.39768e-11
1.8,1.8,0,0,0,1.8,7.70285e-11,6.38333e-11,1.31952e-11
1.8,1.8,0,0,1.8,0,7.70285e-11,6.17173e-11,1.53111e-11
1.8,1.8,0,0,1.8,1.8,7.70291e-11,7.3621e-11,3.4081e-12
1.8,1.8,0,1.8,0,0,7.70284e-11,5.46335e-11,2.23948e-11
1.8,1.8,0,1.8,0,1.8,7.70285e-11,6.5708e-11,1.13206e-11
1.8,1.8,0,1.8,1.8,0,7.70285e-11,6.35434e-11,1.34851e-11
1.8,1.8,0,1.8,1.8,1.8,7.70291e-11,7.55466e-11,1.48257e-12
1.8,1.8,1.8,0,0,0,9.05163e-11,5.30891e-11,3.74271e-11
1.8,1.8,1.8,0,0,1.8,9.05201e-11,6.37713e-11,2.67488e-11
1.8,1.8,1.8,0,1.8,0,9.05201e-11,6.16613e-11,2.88588e-11
1.8,1.8,1.8,0,1.8,1.8,9.05206e-11,7.36128e-11,1.69079e-11
1.8,1.8,1.8,1.8,0,0,9.05173e-11,5.45976e-11,3.59197e-11
1.8,1.8,1.8,1.8,0,1.8,9.05202e-11,6.56167e-11,2.49035e-11
1.8,1.8,1.8,1.8,1.8,0,9.05201e-11,6.34721e-11,2.70481e-11
1.8,1.8,1.8,1.8,1.8,1.8,9.05208e-11,7.55481e-11,1.49727e-11
