v0t1,v1t1,v2t1,v0t2,v1t2,v2t2,tau1_s,tau2_s,t0_s
0,0,0,0,0,0,7.5797e-11,6.25164e-11,1.32806e-11
0,0,0,0,0,1.8,7.57973e-11,7.50379e-11,7.59336e-13
0,0,0,0,1.8,0,7.57972e-11,7.273e-11,3.06719e-12
0,0,0,0,1.8,1.8,7.57974e-11,8.60239e-11,-1.02265e-11
0,0,0,1.8,0,0,7.57971e-11,6.44565e-11,1.13406e-11
0,0,0,1.8,0,1.8,7.57973e-11,7.71762e-11,-1.37887e-12
0,0,0,1.8,1.8,0,7.57973e-11,7.48002e-11,9.97107e-13
0,0,0,1.8,1.8,1.8,7.57974e-11,8.82352e-11,-1.24377e-11
0,0,1.8,0,0,0,8.97826e-11,6.25286e-11,2.7254e-11
0,0,1.8,0,0,1.8,8.97843e-11,7.49716e-11,1.48126e-11
0,0,1.8,0,1.8,0,8.9784e-11,7.26443e-11,1.71398e-11
0,0,1.8,0,1.8,1.8,8.97885e-11,8.60808e-11,3.70774e-12
0,0,1.8,1.8,0,0,8.97832e-11,6.45014e-11,2.52818e-11
0,0,1.8,1.8,0,1.8,8.97851e-11,7.71392e-11,1.26459e-11
0,0,1.8,1.8,1.8,0,8.97843e-11,7.47111e-11,1.50733e-11
0,0,1.8,1.8,1.8,1.8,8.97895e-11,8.83031e-11,1.48638e-12
0,1.8,0,0,0,0,8.81125e-11,6.25284e-11,2.55841e-11
0,1.8,0,0,0,1.8,8.81155e-11,7.50437e-11,1.30718e-11
0,1.8,0,0,1.8,0,8.81152e-11,7.26005e-11,1.55147e-11
0,1.8,0,0,1.8,1.8,8.81162e-11,8.60968e-11,2.01936e-12
0,1.8,0,1.8,0,0,8.81135e-11,6.44403e-11,2.36731e-11
0,1.8,0,1.8,0,1.8,8.81158e-11,7.71802e-11,1.09356e-11
0,1.8,0,1.8,1.8,0,8.81155e-11,7.47697e-11,1.33459e-11
0,1.8,0,1.8,1.8,1.8,8.81161e-11,8.83379e-11,-2.21824e-13
0,1.8,1.8,0,0,0,1.02696e-10,6.26732e-11,4.00226e-11
0,1.8,1.8,0,0,1.8,1.02722e-10,7.49849e-11,2.77374e-11
0,1.8,1.8,0,1.8,0,1.02717e-10,7.26598e-11,3.00575e-11
0,1.8,1.8,0,1.8,1.8,1.02731e-10,8.60578e-11,1.66731e-11
0,1.8,1.8,1.8,0,0,1.027e-10,6.4544e-11,3.81557e-11
0,1.8,1.8,1.8,0,1.8,1.02727e-10,7.71607e-11,2.55665e-11
0,1.8,1.8,1.8,1.8,0,1.02722e-10,7.4755e-11,2.79668e-11
0,1.8,1.8,1.8,1.8,1.8,1.02733e-10,8.83069e-11,1.4426e-11
1.8,0,0,0,0,0,7.78318e-11,6.25156e-11,1.53161e-11
1.8,0,0,0,0,1.8,7.78326e-11,7.50547e-11,2.77784e-12
1.8,0,0,0,1.8,0,7.78324e-11,7.26828e-11,5.14964e-12
1.8,0,0,0,1.8,1.8,7.78331e-11,8.60416e-11,-8.20852e-12
1.8,0,0,1.8,0,0,7.78319e-11,6.44489e-11,1.3383e-11
1.8,0,0,1.8,0,1.8,7.78327e-11,7.72093e-11,6.23378e-13
1.8,0,0,1.8,1.8,0,7.78326e-11,7.47974e-11,3.03521e-12
1.8,0,0,1.8,1.8,1.8,7.78332e-11,8.82412e-11,-1.0408e-11
1.8,0,1.8,0,0,0,9.19654e-11,6.25497e-11,2.94157e-11
1.8,0,1.8,0,0,1.8,9.19728e-11,7.49705e-11,1.70023e-11
1.8,0,1.8,0,1.8,0,9.19711e-11,7.26433e-11,1.93278e-11
1.8,0,1.8,0,1.8,1.8,9.19795e-11,8.60832e-11,5.89626e-12
1.8,0,1.8,1.8,0,0,9.1966e-11,6.44397e-11,2.75263e-11
1.8,0,1.8,1.8,0,1.8,9.19747e-11,7.71119e-11,1.48628e-11
1.8,0,1.8,1.8,1.8,0,9.19731e-11,7.4744e-11,1.7229e-11
1.8,0,1.8,1.8,1.8,1.8,9.19799e-11,8.82962e-11,3.68372e-12
1.8,1.8,0,0,0,0,9.02652e-11,6.25129e-11,2.77523e-11
1.8,1.8,0,0,0,1.8,9.02677e-11,7.49905e-11,1.52772e-11
1.8,1.8,0,0,1.8,0,9.02675e-11,7.26512e-11,1.76163e-11
1.8,1.8,0,0,1.8,1.8,9.02679e-11,8.60912e-11,4.17662e-12
1.8,1.8,0,1.8,0,0,9.02655e-11,6.44793e-11,2.57862e-11
1.8,1.8,0,1.8,0,1.8,9.02678e-11,7.71619e-11,1.31058e-11
1.8,1.8,0,1.8,1.8,0,9.02676e-11,7.47341e-11,1.55335e-11
1.8,1.8,0,1.8,1.8,1.8,9.02686e-11,8.83061e-11,1.9625e-12
1.8,1.8,1.8,0,0,0,1.04896e-10,6.25836e-11,4.23123e-11
1.8,1.8,1.8,0,0,1.8,1.0492e-10,7.49655e-11,2.99546e-11
1.8,1.8,1.8,0,1.8,0,1.04917e-10,7.27367e-11,3.21802e-11
1.8,1.8,1.8,0,1.8,1.8,1.04921e-10,8.60405e-11,1.88806e-11
1.8,1.8,1.8,1.8,0,0,1.04897e-10,6.45783e-11,4.0319e-11
1.8,1.8,1.8,1.8,0,1.8,1.04921e-10,7.7126e-11,2.77953e-11
1.8,1.8,1.8,1.8,1.8,0,1.04919e-10,7.46967e-11,3.02226e-11
1.8,1.8,1.8,1.8,1.8,1.8,1.04922e-10,8.82878e-11,1.66343e-11
