v0t1,v1t1,v2t1,v0t2,v1t2,v2t2,tau1_s,tau2_s,t0_s
0,0,0,0,0,0,9.05551e-11,7.57169e-11,1.48382e-11
0,0,0,0,0,1.8,9.05535e-11,9.02167e-11,3.36764e-13
0,0,0,0,1.8,0,9.05527e-11,8.74854e-11,3.0673e-12
0,0,0,0,1.8,1.8,9.05573e-11,1.02833e-10,-1.2276e-11
0,0,0,1.8,0,0,9.05518e-11,7.79931e-11,1.25587e-11
0,0,0,1.8,0,1.8,9.05545e-11,9.26788e-11,-2.12436e-12
0,0,0,1.8,1.8,0,9.05536e-11,8.99223e-11,6.31374e-13
0,0,0,1.8,1.8,1.8,9.05578e-11,1.05392e-10,-1.48343e-11
0,0,1.8,0,0,0,1.06562e-10,7.58018e-11,3.07601e-11
0,0,1.8,0,0,1.8,1.06563e-10,9.02111e-11,1.63516e-11
0,0,1.8,0,1.8,0,1.06565e-10,8.74564e-11,1.9109e-11
0,0,1.8,0,1.8,1.8,1.06568e-10,1.02796e-10,3.77222e-12
0,0,1.8,1.8,0,0,1.06564e-10,7.80522e-11,2.85121e-11
0,0,1.8,1.8,0,1.8,1.06565e-10,9.27131e-11,1.38519e-11
0,0,1.8,1.8,1.8,0,1.06564e-10,8.99034e-11,1.66605e-11
0,0,1.8,1.8,1.8,1.8,1.06567e-10,1.05392e-10,1.17442e-12
0,1.8,0,0,0,0,1.04701e-10,7.57686e-11,2.8932e-11
0,1.8,0,0,0,1.8,1.04702e-10,9.02338e-11,1.44684e-11
0,1.8,0,0,1.8,0,1.04698e-10,8.74793e-11,1.72191e-11
0,1.8,0,0,1.8,1.8,1.04705e-10,1.02838e-10,1.86725e-12
0,1.8,0,1.8,0,0,1.047e-10,7.80437e-11,2.66567e-11
0,1.8,0,1.8,0,1.8,1.04704e-10,9.27553e-11,1.19484e-11
0,1.8,0,1.8,1.8,0,1.04702e-10,8.99437e-11,1.4758e-11
0,1.8,0,1.8,1.8,1.8,1.04705e-10,1.05372e-10,-6.66739e-13
0,1.8,1.8,0,0,0,1.21369e-10,7.57051e-11,4.56638e-11
0,1.8,1.8,0,0,1.8,1.21374e-10,9.03189e-11,3.10554e-11
0,1.8,1.8,0,1.8,0,1.21357e-10,8.75573e-11,3.37999e-11
0,1.8,1.8,0,1.8,1.8,1.21366e-10,1.02734e-10,1.86322e-11
0,1.8,1.8,1.8,0,0,1.21367e-10,7.79751e-11,4.33918e-11
0,1.8,1.8,1.8,0,1.8,1.21373e-10,9.27331e-11,2.864e-11
0,1.8,1.8,1.8,1.8,0,1.21356e-10,8.99948e-11,3.13615e-11
0,1.8,1.8,1.8,1.8,1.8,1.21368e-10,1.05273e-10,1.60951e-11
1.8,0,0,0,0,0,9.2946e-11,7.57619e-11,1.71841e-11
1.8,0,0,0,0,1.8,9.29389e-11,9.01654e-11,2.77347e-12
1.8,0,0,0,1.8,0,9.29387e-11,8.74312e-11,5.50745e-12
1.8,0,0,0,1.8,1.8,9.29402e-11,1.02818e-10,-9.8783e-12
1.8,0,0,1.8,0,0,9.29479e-11,7.80338e-11,1.49141e-11
1.8,0,0,1.8,0,1.8,9.29392e-11,9.26965e-11,2.42719e-13
1.8,0,0,1.8,1.8,0,9.29389e-11,8.98752e-11,3.06376e-12
1.8,0,0,1.8,1.8,1.8,9.29405e-11,1.05375e-10,-1.24349e-11
1.8,0,1.8,0,0,0,1.09038e-10,7.57876e-11,3.32501e-11
1.8,0,1.8,0,0,1.8,1.09036e-10,9.02135e-11,1.88221e-11
1.8,0,1.8,0,1.8,0,1.09035e-10,8.74426e-11,2.15928e-11
1.8,0,1.8,0,1.8,1.8,1.09028e-10,1.02824e-10,6.20369e-12
1.8,0,1.8,1.8,0,0,1.09038e-10,7.80434e-11,3.09945e-11
1.8,0,1.8,1.8,0,1.8,1.09038e-10,9.26543e-11,1.63836e-11
1.8,0,1.8,1.8,1.8,0,1.09039e-10,8.99475e-11,1.9092e-11
1.8,0,1.8,1.8,1.8,1.8,1.09026e-10,1.05399e-10,3.6263e-12
1.8,1.8,0,0,0,0,1.07163e-10,7.58122e-11,3.13504e-11
1.8,1.8,0,0,0,1.8,1.07162e-10,9.02247e-11,1.69376e-11
1.8,1.8,0,0,1.8,0,1.07162e-10,8.74825e-11,1.96795e-11
1.8,1.8,0,0,1.8,1.8,1.07156e-10,1.02803e-10,4.35337e-12
1.8,1.8,0,1.8,0,0,1.07165e-10,7.79919e-11,2.91732e-11
1.8,1.8,0,1.8,0,1.8,1.07166e-10,9.27564e-11,1.44094e-11
1.8,1.8,0,1.8,1.8,0,1.07164e-10,8.99016e-11,1.72627e-11
1.8,1.8,0,1.8,1.8,1.8,1.07161e-10,1.05367e-10,1.79415e-12
1.8,1.8,1.8,0,0,0,1.23898e-10,7.5725e-11,4.81729e-11
1.8,1.8,1.8,0,0,1.8,1.23891e-10,9.0312e-11,3.35788e-11
1.8,1.8,1.8,0,1.8,0,1.23895e-10,8.75421e-11,3.63524e-11
1.8,1.8,1.8,0,1.8,1.8,1.23901e-10,1.02726e-10,2.11752e-11
1.8,1.8,1.8,1.8,0,0,1.23899e-10,7.79414e-11,4.59574e-11
1.8,1.8,1.8,1.8,0,1.8,1.23893e-10,9.27672e-11,3.11258e-11
1.8,1.8,1.8,1.8,1.8,0,1.23896e-10,8.99866e-11,3.39089e-11
1.8,1.8,1.8,1.8,1.8,1.8,1.23887e-10,1.05252e-10,1.86342e-11
