v0t1,v1t1,v2t1,v0t2,v1t2,v2t2,tau1_s,tau2_s,t0_s
0,0,0,0,0,0,7.5987e-11,6.34421e-11,1.25449e-11
0,0,0,0,0,1.8,7.59871e-11,7.58586e-11,1.28478e-13
0,0,0,0,1.8,0,7.59871e-11,7.34899e-11,2.4972e-12
0,0,0,0,1.8,1.8,7.59871e-11,8.6819e-11,-1.08319e-11
0,0,0,1.8,0,0,7.5987e-11,6.53199e-11,1.06672e-11
0,0,0,1.8,0,1.8,7.59871e-11,7.79593e-11,-1.97227e-12
0,0,0,1.8,1.8,0,7.59871e-11,7.55685e-11,4.18556e-13
0,0,0,1.8,1.8,1.8,7.59871e-11,8.90285e-11,-1.30414e-11
0,0,1.8,0,0,0,9.0137e-11,6.34282e-11,2.67087e-11
0,0,1.8,0,0,1.8,9.01394e-11,7.58111e-11,1.43283e-11
0,0,1.8,0,1.8,0,9.0139e-11,7.34341e-11,1.67049e-11
0,0,1.8,0,1.8,1.8,9.01422e-11,8.68707e-11,3.27141e-12
0,0,1.8,1.8,0,0,9.01378e-11,6.53845e-11,2.47533e-11
0,0,1.8,1.8,0,1.8,9.014e-11,7.79281e-11,1.22119e-11
0,0,1.8,1.8,1.8,0,9.01395e-11,7.55087e-11,1.46308e-11
0,0,1.8,1.8,1.8,1.8,9.01428e-11,8.90897e-11,1.05311e-12
0,1.8,0,0,0,0,8.84785e-11,6.34439e-11,2.50346e-11
0,1.8,0,0,0,1.8,8.84774e-11,7.58439e-11,1.26336e-11
0,1.8,0,0,1.8,0,8.84775e-11,7.34352e-11,1.50423e-11
0,1.8,0,0,1.8,1.8,8.84775e-11,8.68771e-11,1.60049e-12
0,1.8,0,1.8,0,0,8.84782e-11,6.53079e-11,2.31703e-11
0,1.8,0,1.8,0,1.8,8.84774e-11,7.79645e-11,1.05129e-11
0,1.8,0,1.8,1.8,0,8.84775e-11,7.55361e-11,1.29414e-11
0,1.8,0,1.8,1.8,1.8,8.84777e-11,8.90967e-11,-6.1898e-13
0,1.8,1.8,0,0,0,1.03413e-10,6.3542e-11,3.98714e-11
0,1.8,1.8,0,0,1.8,1.03428e-10,7.58108e-11,2.76173e-11
0,1.8,1.8,0,1.8,0,1.03424e-10,7.34106e-11,3.00129e-11
0,1.8,1.8,0,1.8,1.8,1.03438e-10,8.68311e-11,1.66068e-11
0,1.8,1.8,1.8,0,0,1.03411e-10,6.53603e-11,3.8051e-11
0,1.8,1.8,1.8,0,1.8,1.03428e-10,7.792e-11,2.55084e-11
0,1.8,1.8,1.8,1.8,0,1.03421e-10,7.55369e-11,2.78844e-11
0,1.8,1.8,1.8,1.8,1.8,1.03435e-10,8.90424e-11,1.43927e-11
1.8,0,0,0,0,0,7.8006e-11,6.34007e-11,1.46053e-11
1.8,0,0,0,0,1.8,7.80063e-11,7.582e-11,2.18633e-12
1.8,0,0,0,1.8,0,7.80063e-11,7.34477e-11,4.55855e-12
1.8,0,0,0,1.8,1.8,7.80068e-11,8.68189e-11,-8.81203e-12
1.8,0,0,1.8,0,0,7.8006e-11,6.52896e-11,1.27165e-11
1.8,0,0,1.8,0,1.8,7.80066e-11,7.79571e-11,4.95075e-14
1.8,0,0,1.8,1.8,0,7.80064e-11,7.55186e-11,2.48772e-12
1.8,0,0,1.8,1.8,1.8,7.80069e-11,8.90062e-11,-1.09993e-11
1.8,0,1.8,0,0,0,9.23146e-11,6.3445e-11,2.88696e-11
1.8,0,1.8,0,0,1.8,9.23217e-11,7.58286e-11,1.64931e-11
1.8,0,1.8,0,1.8,0,9.23205e-11,7.34169e-11,1.89036e-11
1.8,0,1.8,0,1.8,1.8,9.23261e-11,8.68799e-11,5.44619e-12
1.8,0,1.8,1.8,0,0,9.23155e-11,6.52618e-11,2.70537e-11
1.8,0,1.8,1.8,0,1.8,9.23239e-11,7.79227e-11,1.44012e-11
1.8,0,1.8,1.8,1.8,0,9.23225e-11,7.54984e-11,1.68241e-11
1.8,0,1.8,1.8,1.8,1.8,9.23259e-11,8.90749e-11,3.25094e-12
1.8,1.8,0,0,0,0,9.06265e-11,6.34205e-11,2.7206e-11
1.8,1.8,0,0,0,1.8,9.06272e-11,7.58007e-11,1.48265e-11
1.8,1.8,0,0,1.8,0,9.06271e-11,7.34381e-11,1.7189e-11
1.8,1.8,0,0,1.8,1.8,9.06286e-11,8.68806e-11,3.74796e-12
1.8,1.8,0,1.8,0,0,9.06268e-11,6.53572e-11,2.52696e-11
1.8,1.8,0,1.8,0,1.8,9.06274e-11,7.79253e-11,1.27021e-11
1.8,1.8,0,1.8,1.8,0,9.06272e-11,7.54903e-11,1.5137e-11
1.8,1.8,0,1.8,1.8,1.8,9.0629e-11,8.90812e-11,1.5478e-12
1.8,1.8,1.8,0,0,0,1.05605e-10,6.35336e-11,4.20719e-11
1.8,1.8,1.8,0,0,1.8,1.05627e-10,7.57895e-11,2.98372e-11
1.8,1.8,1.8,0,1.8,0,1.05622e-10,7.34764e-11,3.21455e-11
1.8,1.8,1.8,0,1.8,1.8,1.05642e-10,8.68574e-11,1.87843e-11
1.8,1.8,1.8,1.8,0,0,1.05607e-10,6.54081e-11,4.01988e-11
1.8,1.8,1.8,1.8,0,1.8,1.05623e-10,7.79345e-11,2.76881e-11
1.8,1.8,1.8,1.8,1.8,0,1.05627e-10,7.54883e-11,3.0139e-11
1.8,1.8,1.8,1.8,1.8,1.8,1.05646e-10,8.90588e-11,1.65868e-11
